id_n,Year,CONS_total,vat,VAT_Rate
197358,2018,50317600,1570415,3.1%
185860,2018,207822000,7514281,3.6%
289856,2018,18804000,244365,1.3%
98876,2018,23604400,1115881,4.7%
104909,2018,6916600,144627,2.1%
200902,2018,22925000,473099,2.1%
90343,2018,92100000,3647269,4.0%
58967,2018,69214000,3197841,4.6%
14233,2018,31739552,1340271,4.2%
251850,2018,83512360,4848248,5.8%
167085,2018,6151400,70420,1.1%
264065,2018,131112000,7154782,5.5%
59513,2018,68022000,3483600,5.1%
160247,2018,12945200,189279,1.5%
198204,2018,27903800,917654,3.3%
232028,2018,49153280,1709159,3.5%
111312,2018,35463400,915389,2.6%
218341,2018,39124600,873443,2.2%
155570,2018,40608000,1008968,2.5%
89135,2018,730031600,18589352,2.5%
36005,2018,50081000,1328792,2.7%
26572,2018,39374400,1863261,4.7%
48227,2018,35839000,1533910,4.3%
10313,2018,18156800,407843,2.2%
248848,2018,48380560,1675468,3.5%
184681,2018,18341120,503091,2.7%
195301,2018,36266200,1150638,3.2%
230718,2018,62481400,2532605,4.1%
27141,2018,30417000,843650,2.8%
2758,2018,53609000,1664762,3.1%
29037,2018,15428200,504249,3.3%
264135,2018,56587000,3837315,6.8%
8705,2018,18509600,249020,1.3%
128912,2018,23071600,714993,3.1%
252467,2018,16681000,655362,3.9%
200384,2018,9638000,220595,2.3%
106337,2018,10058120,141486,1.4%
43724,2018,37641400,1781395,4.7%
220289,2018,45854020,1165622,2.5%
16638,2018,32974040,1755425,5.3%
205537,2018,101754000,3646393,3.6%
133270,2018,23952640,600204,2.5%
213430,2018,44669000,1596019,3.6%
87441,2018,158078000,7142539,4.5%
89106,2018,33673000,1841332,5.5%
166611,2018,22516600,722511,3.2%
36403,2018,68693800,2989575,4.4%
25169,2018,36573800,872341,2.4%
153503,2018,38994040,1599380,4.1%
41863,2018,62194400,1975162,3.2%
40891,2018,40984600,1433493,3.5%
149580,2018,41172200,1626168,3.9%
35474,2018,34881800,1450667,4.2%
244208,2018,33104560,1303141,3.9%
86947,2018,675097600,31967547,4.7%
194197,2018,21671980,582929,2.7%
37513,2018,33740000,1448829,4.3%
109547,2018,48749080,1765288,3.6%
76115,2018,297184200,23736762,8.0%
6953,2018,38563000,1984459,5.1%
18140,2018,25210960,1078645,4.3%
97794,2018,8234800,164544,2.0%
73624,2018,32463180,1204144,3.7%
202976,2018,43289350,1033101,2.4%
35137,2018,41834800,1988602,4.8%
9921,2018,37027490,1784708,4.8%
145199,2018,17175800,345281,2.0%
189151,2018,45544400,1093838,2.4%
283952,2018,106451000,4716646,4.4%
223487,2018,52935000,2012845,3.8%
191253,2018,155450000,6906267,4.4%
260629,2018,22542600,704020,3.1%
6336,2018,85833992,2573955,3.0%
18235,2018,12499400,307901,2.5%
226905,2018,49972400,2284310,4.6%
146015,2018,12595920,455841,3.6%
24566,2018,42787000,1686667,3.9%
221049,2018,26871200,720252,2.7%
159639,2018,25488200,915163,3.6%
52993,2018,33697600,897365,2.7%
239783,2018,36222636,1227603,3.4%
42491,2018,79427000,1965739,2.5%
110177,2018,39295480,971796,2.5%
254733,2018,46147724,2088552,4.5%
232254,2018,53973068,2373398,4.4%
172332,2018,27398600,885026,3.2%
242533,2018,35418400,1240142,3.5%
81711,2018,90194560,1482889,1.6%
167271,2018,26722960,987549,3.7%
38517,2018,46714360,1294144,2.8%
36871,2018,93232800,4141827,4.4%
40654,2018,43822000,2016883,4.6%
286822,2018,83376800,4089800,4.9%
107162,2018,27044200,678369,2.5%
120660,2018,58734680,2577014,4.4%
65387,2018,16234000,523512,3.2%
240489,2018,49791600,1881595,3.8%
129548,2018,11039520,510885,4.6%
213579,2018,74506300,3092650,4.2%
281353,2018,37819800,2226004,5.9%
165682,2018,33867760,1227902,3.6%
19790,2018,4697920,54207,1.2%
99968,2018,8057360,215617,2.7%
84322,2018,67331000,2129243,3.2%
259813,2018,56861000,553667,1.0%
234242,2018,32048767,1232712,3.8%
23673,2018,45723000,2131919,4.7%
12214,2018,63020600,2194370,3.5%
131315,2018,106620500,6659857,6.2%
16691,2018,24433944,1170012,4.8%
201224,2018,17232000,740369,4.3%
262292,2018,47521220,1900305,4.0%
49349,2018,16229354,263247,1.6%
244855,2018,68929000,3207591,4.7%
10524,2018,44186700,1403383,3.2%
137127,2018,96944000,2701888,2.8%
9035,2018,75179200,3759243,5.0%
195641,2018,16806400,343240,2.0%
92843,2018,25817200,964373,3.7%
238354,2018,29854200,1693861,5.7%
112262,2018,12520400,307589,2.5%
29896,2018,28070800,826407,2.9%
63991,2018,20346000,766631,3.8%
34910,2018,14973600,371508,2.5%
204183,2018,54872000,2858811,5.2%
123642,2018,18358350,637732,3.5%
225477,2018,25636800,758742,3.0%
41611,2018,32726000,1331962,4.1%
250254,2018,48762200,1953759,4.0%
258994,2018,61902400,1917649,3.1%
209909,2018,11460800,231020,2.0%
204423,2018,52255300,1616088,3.1%
211911,2018,57473000,2439324,4.2%
239139,2018,90693600,5351757,5.9%
56950,2018,40816000,2161748,5.3%
211974,2018,12479600,291312,2.3%
75822,2018,19479400,688147,3.5%
58680,2018,15021000,477414,3.2%
137141,2018,17351880,738803,4.3%
291893,2018,9592720,305171,3.2%
254996,2018,30401800,922805,3.0%
126765,2018,29438900,1206013,4.1%
57656,2018,30033000,859685,2.9%
277656,2018,14778600,284685,1.9%
146699,2018,16621240,571604,3.4%
193609,2018,21455600,1099405,5.1%
183026,2018,46236400,1293402,2.8%
112510,2018,16536160,387022,2.3%
124587,2018,110188800,3298911,3.0%
