,weight,CONS_total,vatax,table_row
12899,10831.392450907511,9346998.361044994,993834.1477552172,1
14011,10831.392450907511,9363253.327530218,546261.1055933242,1
4315,10831.392450907511,9423483.082574505,527927.1524525618,1
18187,10831.392450907511,9464002.709175354,420320.4522164953,1
7272,10831.392450907511,9488345.895699123,669696.7665504495,1
18517,10831.392450907511,9488345.895699123,669696.7665504495,1
15741,10831.392450907511,9489288.212596819,572166.1823750192,1
10323,10831.392450907511,9500517.488961004,490762.5666395433,1
6672,10831.392450907511,9535775.846216395,600032.0635679993,1
5915,10831.392450907511,9543707.013438659,501344.00013656775,1
16972,10831.392450907511,9560982.823229717,327808.49078536767,1
15705,10831.392450907511,9579436.529142894,385336.9373895983,1
14225,10831.392450907511,9586111.273834893,256891.29159306554,1
1345,10831.392450907511,9588074.434038425,451762.4260362249,1
1953,10831.392450907511,9626945.00606831,461048.1737989198,1
9299,10831.392450907511,9626945.00606831,461048.1737989198,1
15407,10831.392450907511,9637231.965534803,574723.002224096,1
16548,10831.392450907511,9640687.127493016,564918.9801676692,1
15304,10831.392450907511,9666208.210138902,622058.721051601,1
17341,10831.392450907511,9721176.695837729,518576.6204031504,1
13359,10831.392450907511,9741986.193995144,596749.6597076977,1
1349,10831.392450907511,9821062.286993314,433925.1524269551,1
352,10831.392450907511,9872811.189958353,601500.5074002394,1
15924,10831.392450907511,9877051.615997976,657949.2158925285,1
1283,10831.392450907511,9883804.887098119,517185.91771497007,1
5243,10831.392450907511,9890008.473341275,770587.4957302411,1
15918,10831.392450907511,9900216.906399624,808032.8134523642,1
15071,10831.392450907511,9902965.330684569,568158.1945034931,1
19130,10831.392450907511,9908265.863234097,722582.3392733325,1
7275,10831.392450907511,9924167.460882688,753009.3592678376,1
6724,10831.392450907511,9925345.357004805,569799.3964336439,1
2710,10831.392450907511,9934572.209961394,525616.5128930074,1
2149,10831.392450907511,9934572.209961394,985541.759055508,1
19383,10831.392450907511,9936873.033719927,494649.6238425318,1
9438,10831.392450907511,9971675.9378081,449991.6555326412,1
10649,10831.392450907511,9980706.47474434,746099.0353514134,1
18840,10831.392450907511,9980706.47474434,746099.0353514134,1
12530,10831.392450907511,10013687.566163635,869837.0229798822,2
13668,10831.392450907511,10069048.68390317,494779.19241596485,2
7650,10831.392450907511,10084911.018347688,475836.26698006724,2
16854,10831.392450907511,10086324.49369423,607633.4198760656,2
2814,10831.392450907511,10090643.446141995,969820.7721456431,2
10438,10831.392450907511,10097946.402099125,273847.4989029912,2
9743,10831.392450907511,10124409.801642705,833687.390992089,2
15379,10831.392450907511,10137366.658985998,482858.88366013323,2
10827,10831.392450907511,10144276.98290242,609853.3614342167,2
12626,10831.392450907511,10150716.148370001,464719.28337952,2
13151,10831.392450907511,10153857.204695646,452928.54319712124,2
2764,10831.392450907511,10158568.789184118,733617.2627773725,2
16383,10831.392450907511,10174666.702853061,450898.63554667175,2
11640,10831.392450907511,10184875.135911413,453705.95463771914,2
2509,10831.392450907511,10185660.399992825,412848.6644818618,2
4327,10831.392450907511,10204506.73794671,651341.2186474481,2
7557,10831.392450907511,10205292.00202812,534383.9863619703,2
16999,10831.392450907511,10205519.728611734,465280.74719772936,2
15845,10831.392450907511,10206077.266109532,508988.54596911184,2
3522,10831.392450907511,10220604.651615651,1115412.6591598033,2
8262,10831.392450907511,10270861.552826008,518101.5356338961,2
14075,10831.392450907511,10304627.908326719,213917.71473780324,2
14483,10831.392450907511,10330423.833401093,580657.2428873251,2
7531,10831.392450907511,10330423.833401093,580657.2428873251,2
6950,10831.392450907511,10333290.047298247,605517.1331766607,2
19654,10831.392450907511,10336038.471583191,828375.0794813377,2
257,10831.392450907511,10361559.554229075,548852.4770619834,2
12895,10831.392450907511,10363522.714432605,370782.06764063,2
9026,10831.392450907511,10388651.165037783,687490.8506352414,2
3996,10831.392450907511,10400037.494218256,613679.9533029367,2
16759,10831.392450907511,10414172.247683669,346509.5548841905,2
7958,10831.392450907511,10506048.14520885,629832.835457578,2
7991,10831.392450907511,10508796.569493795,894023.1566873664,2
12247,10831.392450907511,10548216.826380666,599038.7045050133,2
4219,10831.392450907511,10572149.712421894,716859.7272800439,2
19844,10831.392450907511,10580569.706534833,680494.1476698621,2
15771,10831.392450907511,10581433.497024387,559736.2372303513,2
3092,10831.392450907511,10594743.723204318,681340.6623496241,2
12881,10831.392450907511,10595960.882530507,1111784.7391036805,2
18096,10831.392450907511,10618733.54089145,558267.7933981112,2
2477,10831.392450907511,10622125.881723149,619769.6762542854,2
