id_n,Year,CONS_Nonfood,vat,vat1,vat2,vat_diff
56465,2018,20552000,981378,981378,2036685,1055306
285911,2018,13557000,865631,865631,1343486,477856
43165,2018,16365000,932027,932027,1621757,689730
266786,2018,6106700,259739,259739,602691,342952
74993,2018,29689000,2123000,2123000,2942153,819153
93448,2018,8725000,589441,589441,864640,275198
133589,2018,27553300,1669750,1669750,2730507,1060757
154425,2018,8440000,607874,607874,836396,228523
164663,2018,19717000,1260441,1260441,1952054,691613
106331,2018,16491000,1125468,1125468,1634243,508775
127294,2018,87881216,4226499,4226499,8708949,4482450
146773,2018,16454000,879306,879306,1630577,751270
172083,2018,31552000,2314559,2314559,3126775,812216
214722,2018,26560000,1953243,1953243,2632072,678829
112392,2018,7348000,282730,282730,728180,445450
118010,2018,7443000,342784,342784,734820,392036
135645,2018,8042000,374099,374099,796955,422856
5396,2018,6945000,280450,280450,688243,407793
185974,2018,61149000,2353405,2353405,6059811,3706405
293505,2018,16285000,402342,402342,1613829,1211486
18625,2018,11710000,655243,655243,1160450,505207
274566,2018,14111000,398874,398874,1398387,999514
6796,2018,22209900,1127450,1127450,2200981,1073531
49157,2018,6524000,406901,406901,646523,239622
131421,2018,14396000,695180,695180,1426631,731450
187596,2018,13715000,791009,791009,1359144,568135
140526,2018,29693551,1655153,1655153,2942604,1287451
43180,2018,9339000,659505,659505,915180,255676
24494,2018,17533000,877324,877324,1729577,852252
218683,2018,15058000,718270,718270,1492234,773964
257562,2018,46906000,2374811,2374811,4648342,2273532
207728,2018,9034600,535333,535333,895321,359987
228836,2018,12366000,608667,608667,1225459,616793
225363,2018,40000000,1531081,1531081,3963964,2432883
196315,2018,2775000,72243,72243,275000,202757
88238,2018,15338000,653063,653063,1519982,866919
21783,2018,11756384,711532,711532,1165047,453516
55216,2018,15978000,1102874,1102874,1583405,480532
224227,2018,4836000,161532,161532,479243,317712
265858,2018,20478000,1020225,1020225,2029351,1009126
101759,2018,18140000,865631,865631,1797658,932027
194482,2018,7776456,366216,366216,770640,404423
238747,2018,88891000,5958730,5958730,8764423,2805694
238135,2018,15396000,844820,844820,1525730,680910
42419,2018,14347800,1300359,1300359,1421854,121495
114986,2018,5545400,170391,170391,547067,376676
188978,2018,11853000,672883,672883,1174622,501739
277207,2018,29634000,2135189,2135189,2936703,801514
193928,2018,16922000,871378,871378,1676955,805577
251534,2018,13194200,540506,540506,1307533,767027
183529,2018,13597000,664856,664856,1347450,682595
194989,2018,6072000,121495,121495,601730,480234
247036,2018,9269000,787541,787541,913495,125955
213462,2018,15728000,1388775,1388775,1558631,169856
48463,2018,35269812,2293234,2293234,3467558,1174324
125622,2018,18053000,1056396,1056396,1789036,732640
151705,2018,5326000,327820,327820,527802,199982
232049,2018,41084000,2889036,2889036,4071387,1182351
170802,2018,14029000,851955,851955,1381243,529288
134183,2018,31611700,2327868,2327868,3118520,790652
48726,2018,8893800,699144,699144,881368,182223
86908,2018,17965000,686360,686360,1780315,1093955
6280,2018,7892404,417306,417306,782130,364824
128680,2018,23782600,1070528,1070528,2356834,1286306
85556,2018,16469000,826586,826586,1621658,795072
289066,2018,7521000,175802,175802,745324,569523
175372,2018,5700000,261423,261423,550595,289171
208539,2018,13659000,771189,771189,1353595,582405
91251,2018,11234000,689234,689234,1113279,424045
113358,2018,2384800,84314,84314,236332,152018
219869,2018,11908000,802306,802306,1180072,377766
223588,2018,12844000,456847,456847,1272829,815982
48865,2018,11826200,1012198,1012198,1171966,159768
211055,2018,26769000,1945414,1945414,2652784,707369
258369,2018,107648000,3992505,3992505,10618270,6625766
265635,2018,16191500,431874,431874,1604563,1172689
5080,2018,2916000,145676,145676,288973,143297
291310,2018,12596000,640180,640180,1248252,608072
75168,2018,8268000,300369,300369,605198,304829
197207,2018,2885800,122328,122328,285980,163652
193339,2018,32536500,769653,769653,3224338,2454685
179232,2018,23383000,1328225,1328225,2185829,857604
186881,2018,13638000,967009,967009,1351514,384505
273510,2018,13845000,721441,721441,1342297,620856
3430,2018,58339000,2848802,2848802,5753595,2904793
149756,2018,5757400,309031,309031,570553,261523
160057,2018,72239000,5431721,5431721,7081027,1649306
116388,2018,8395300,574458,574458,814327,239869
228708,2018,9663000,856414,856414,957595,101180
5629,2018,26639000,1663200,1663200,2639901,976701
8548,2018,15627000,927171,927171,1548622,621450
55670,2018,7496000,223369,223369,742847,519477
40735,2018,16866000,1377378,1377378,1671405,294027
219315,2018,24839000,1559423,1559423,2461523,902099
46085,2018,11090000,677144,677144,1099009,421865
187732,2018,60697700,3499705,3499705,6015087,2515383
60564,2018,3990000,128730,128730,392928,264198
290050,2018,4663000,66892,66892,462099,395207
117629,2018,17376000,920928,920928,1633649,712721
248444,2018,3317000,222378,222378,328712,106333
184589,2018,13219000,703802,703802,1309991,606189
8962,2018,8181000,520369,520369,810730,290360
50146,2018,9998500,418198,418198,990842,572644
212772,2018,8198000,319595,319595,812414,492820
54939,2018,4465400,241841,241841,441823,199982
24204,2018,15504000,1374009,1374009,1519685,145676
58451,2018,10655000,757712,757712,1050054,292342
264577,2018,20213000,1322874,1322874,1984162,661288
220554,2018,15712900,908541,908541,1557134,648594
126817,2018,6134000,369541,369541,607874,238333
272138,2018,5064000,127543,127543,501838,374295
268749,2018,117319200,799769,799769,11620281,10820512
28226,2018,56677000,5012333,5012333,5616640,604306
95404,2018,34623090,1503095,1503095,3431117,1928022
210830,2018,8371000,449712,449712,829559,379847
100840,2018,5652000,340604,340604,560108,219505
61971,2018,123450000,8334631,8334631,12233784,3899153
264818,2018,9278000,342784,342784,919441,576658
277738,2018,15320000,390847,390847,1518198,1127351
165797,2018,2443000,92459,92459,242099,149640
249362,2018,2218500,105927,105927,219851,113924
29936,2018,17252000,682198,682198,1709658,1027459
62971,2018,10841000,636712,636712,1074333,437622
206657,2018,13592000,737000,737000,1346955,609955
86935,2018,60519400,3436004,3436004,5997418,2561414
142152,2018,17407000,1026171,1026171,1698063,671892
253914,2018,46988000,3491559,3491559,4656468,1164910
196910,2018,6832000,288973,288973,677045,388072
96766,2018,35208500,2722649,2722649,3489131,766482
64679,2018,19366000,1336153,1336153,1919153,583000
12602,2018,8235000,304631,304631,816081,511450
56820,2018,9242600,454032,454032,894429,440396
134772,2018,10850000,544550,544550,1069279,524730
139657,2018,25565000,675261,675261,2533468,1858207
28677,2018,22625628,1786026,1786026,2242179,456153
210477,2018,17654400,997373,997373,1749535,752162
85479,2018,39426000,733532,733532,3907081,3173550
286986,2018,15786000,311171,311171,1564378,1253207
38791,2018,6567000,203550,203550,650784,447234
109373,2018,18305300,998450,998450,1814039,815589
120596,2018,12040000,762171,762171,1193153,430982
8373,2018,17962000,1086919,1086919,1771396,684477
148322,2018,15530600,1115717,1115717,1539068,423351
283364,2018,18075592,1101545,1101545,1791275,689730
229847,2018,35395000,1385108,1385108,3507613,2122505
223352,2018,88969000,7426486,7426486,8816748,1390261
285756,2018,7923000,379450,379450,776937,397486
212504,2018,46960000,2918468,2918468,4640811,1722342
229386,2018,60511000,3008748,3008748,5996586,2987838
199213,2018,54506580,4139865,4139865,5401553,1261688
17531,2018,6669000,406604,406604,660892,254288
113805,2018,23101500,1715306,1715306,2241176,525869
42022,2018,18785920,1232495,1232495,1861668,629172
13235,2018,5374000,122784,122784,532559,409775
242630,2018,70798000,3967928,3967928,7016018,3048090
189538,2018,14629000,760586,760586,1265595,505009
77028,2018,15042000,806865,806865,1480739,673874
254183,2018,28979400,1792247,1792247,2833184,1040937
1485,2018,213648000,3433189,3433189,21172324,17739135
891,2018,20926000,1233784,1233784,2073748,839964
205016,2018,27413000,2080784,2080784,2716604,635820
199948,2018,29251000,2403847,2403847,2898748,494901
29179,2018,12992000,956009,956009,1277883,321874
250151,2018,15738360,983396,983396,1553810,570414
69296,2018,3544600,193699,193699,351267,157568
160114,2018,1245000,33099,33099,123378,90279
96668,2018,13483500,404919,404919,1326293,921374
10432,2018,27117000,1424649,1424649,2687270,1262622
92912,2018,22630000,1784577,1784577,2242613,458036
