id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
144831,2018,29532400,381274,190782,190782,0
97169,2018,29538492,952598,3894753,3894753,0
100820,2018,29540400,800409,1257737,1257737,0
221950,2018,29540600,1223508,786988,786988,0
14093,2018,29542612,807031,643173,643173,0
65517,2018,29547400,840514,1493936,1493936,0
293003,2018,29548480,373348,3376424,3376424,0
158016,2018,29549200,968076,1137162,1137162,0
193412,2018,29555800,1269717,1594485,1594485,0
274395,2018,29555944,575868,3190448,3190448,0
49542,2018,29556600,870652,361018,361018,0
101717,2018,29558360,974652,187892,187892,0
15764,2018,29559200,728472,847907,847907,0
189334,2018,29562600,954132,1292975,1292975,0
70315,2018,29563600,1397497,1400184,1400184,0
164439,2018,29566400,1363354,1316854,1316854,0
241606,2018,29569200,939436,98941,98941,0
235556,2018,29571800,1297009,943919,943919,0
230035,2018,29571880,1794851,2531768,2531768,0
143145,2018,29573200,994777,3784364,3784364,0
6312,2018,29575000,881470,1026626,1026626,0
267058,2018,29578360,927396,1383732,1383732,0
97552,2018,29580340,723220,2904535,2904535,0
220624,2018,29585093,1072548,1060993,1060993,0
258619,2018,29590000,1686667,1461941,1461941,0
250353,2018,29600000,916688,146083,146083,0
92771,2018,29600100,1036236,2291706,2291706,0
58894,2018,29605200,1218759,4519445,4519445,0
76247,2018,29606800,1015726,722763,722763,0
1649,2018,29607200,1024449,3599647,3599647,0
224164,2018,29607800,874501,4974457,4974457,0
164007,2018,29609400,1067864,605202,605202,0
247135,2018,29613880,846468,1591245,1591245,0
158660,2018,29614160,645151,1670299,1670299,0
145123,2018,29617420,1250543,937973,937973,0
132008,2018,29617640,884078,804609,804609,0
96931,2018,29621700,1068168,2495018,2495018,0
6758,2018,29630000,1213737,781206,781206,0
207521,2018,29631608,876659,1140342,1140342,0
190970,2018,29633800,740794,2325414,2325414,0
126455,2018,29636840,690530,2059052,2059052,0
95890,2018,29641200,956919,3148288,3148288,0
214494,2018,29646600,1243139,1401787,1401787,0
132928,2018,29646980,1183384,3161845,3161845,0
6775,2018,29649000,1271690,502566,502566,0
104243,2018,29651200,1548989,2170927,2170927,0
75829,2018,29663160,973948,3008463,3008463,0
293014,2018,29663600,969771,970537,970537,0
108238,2018,29664000,1207411,2120202,2120202,0
243057,2018,29667600,1380054,293346,293346,0
82823,2018,29667800,1314151,1483770,1483770,0
224965,2018,29671680,752735,935735,935735,0
1041,2018,29674000,971568,2659225,2659225,0
20850,2018,29683400,1070072,1332459,1332459,0
120724,2018,29685400,860398,4305519,4305519,0
159401,2018,29688200,970537,2005513,2005513,0
209065,2018,29688820,1176814,1481432,1481432,0
4979,2018,29691000,839865,905964,905964,0
24773,2018,29694300,1138335,1887033,1887033,0
263702,2018,29698000,910267,951124,951124,0
38178,2018,29699400,1404234,1661198,1661198,0
108324,2018,29708200,1033552,575766,575766,0
276646,2018,29709672,1640288,227631,227631,0
264324,2018,29712400,767865,3215613,3215613,0
155825,2018,29715100,926686,1499964,1499964,0
198860,2018,29718000,610351,1029789,1029789,0
215377,2018,29719160,1544063,363723,363723,0
252070,2018,29721036,1530224,3723683,3723683,0
275110,2018,29725000,724270,1253216,1253216,0
62778,2018,29731200,958692,1670738,1670738,0
25386,2018,29733000,1182306,331189,331189,0
240694,2018,29738000,1398991,1224807,1224807,0
198934,2018,29738400,602996,1632204,1632204,0
260819,2018,29739400,1326529,1240391,1240391,0
247036,2018,29741400,1583802,956572,956572,0
