id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
208838,2018,44910200,2542011,2542011,2748343,206332
71040,2018,26617000,1289634,1289634,1394333,104699
202231,2018,70872000,3042157,3042157,3289100,246943
163281,2018,33385000,1197658,1197658,1294873,97215
213256,2018,80466600,1902348,1902348,2056769,154421
150323,2018,7244480,178094,178094,192556,14462
129356,2018,28514400,980261,980261,1059843,79581
193829,2018,10631900,191856,191856,207429,15573
158930,2018,18041340,916686,916686,991093,74406
168396,2018,62437800,2405481,2405481,2600807,195326
89079,2018,44117800,1183142,1183142,1279233,96091
163732,2018,53695800,2447074,2447074,2645700,198626
177781,2018,81219000,4363717,4363717,4718035,354318
19609,2018,122645000,10122676,10122676,10944321,821646
174201,2018,18736200,606189,606189,655393,49204
8010,2018,42431000,1838795,1838795,1988079,149285
7171,2018,43795600,2131488,2131488,2304528,173040
112819,2018,123576800,4481106,4481106,4844906,363800
19464,2018,46316000,1652007,1652007,1786128,134121
102064,2018,127217000,9285090,9285090,10038750,753660
235137,2018,22728280,1099840,1099840,1189157,89317
135485,2018,23640200,781479,781479,844931,63451
127225,2018,20121020,880838,880838,952364,71526
201347,2018,46135000,2088258,2088258,2257769,169511
90226,2018,35679800,1850418,1850418,2000668,150250
5798,2018,56718200,2101186,2101186,2271776,170590
10771,2018,175513600,10096593,10096593,10916175,819583
255857,2018,27742000,241405,241405,261000,19595
107133,2018,62530240,3099130,3099130,3350737,251607
123772,2018,58039200,2643341,2643341,2857902,214562
22306,2018,155115040,9828831,9828831,10626626,797795
215223,2018,48503280,2448812,2448812,2647608,198797
29200,2018,48749000,1044885,1044885,1129770,84886
273869,2018,64085400,2713474,2713474,2933733,220259
141514,2018,76472880,2361582,2361582,2553274,191692
261306,2018,19308040,499816,499816,540386,40569
280112,2018,102126940,4329278,4329278,4680975,351696
88663,2018,119408000,4975708,4975708,5379590,403882
90237,2018,53029800,2700472,2700472,2919676,219204
272253,2018,22790560,815818,815818,882297,66479
102669,2018,27969600,1468629,1468629,1587836,119207
215792,2018,50018000,2292894,2292894,2479049,186156
81033,2018,50569200,2304272,2304272,2491307,187035
237686,2018,51455400,2864162,2864162,3096643,232481
245506,2018,45513000,1158964,1158964,1253036,94072
143422,2018,39981000,1561477,1561477,1688222,126745
292383,2018,26956000,705604,705604,763936,58332
5222,2018,47521000,1640834,1640834,1774024,133189
209456,2018,20748400,552971,552971,597899,44928
241102,2018,27141258,989767,989767,1070139,80373
240602,2018,14203830,455852,455852,492853,37001
205631,2018,34364000,1114710,1114710,1205209,90499
156224,2018,26431000,376577,376577,407143,30566
